ident,iata_code,icao_code,local_code,name,type,latitude_deg,longitude_deg,elevation_ft,country_name,region_name,runway_lengths_ft,runway_surfaces,airtanker_base,index__gacc,gacc
KAJR,,,AJR,Habersham County Airport,small_airport,34.499901,-83.556702,1448.0,United States,Georgia,5500,asphalt,False,100,Southern Area Coordination Center
KAJZ,,,AJZ,Blake Field,small_airport,38.7864,-108.064003,5193.0,United States,Colorado,5598,asphalt,False,119,Rocky Mountain Area Coordination Center
KAKO,AKO,KAKO,AKO,Colorado Plains Regional Airport,small_airport,40.1755981445,-103.222000122,4714.0,United States,Colorado,7000,asphalt,False,119,Rocky Mountain Area Coordination Center
KAKR,AKC,KAKR,AKR,Akron Fulton International Airport,medium_airport,41.037355,-81.46784,1067.0,United States,Ohio,6337,asphalt,False,51,Eastern Area Coordination Center
KALB,ALB,KALB,ALB,Albany International Airport,medium_airport,42.74829864501953,-73.80169677734375,285.0,United States,New York,"7200,8500","asphalt,asphalt",False,51,Eastern Area Coordination Center
KALI,ALI,KALI,ALI,Alice International Airport,medium_airport,27.7409,-98.026901,178.0,United States,Texas,5997,asphalt,False,100,Southern Area Coordination Center
KALM,ALM,KALM,ALM,Alamogordo White Sands Regional Airport,medium_airport,32.837818,-105.993149,4200.0,United States,New Mexico,7006,asphalt,False,97,Southwest Area Coordination Center
KALN,ALN,KALN,ALN,St Louis Regional Airport,medium_airport,38.89030075069999,-90.0459976196,544.0,United States,Illinois,"6500,8101","asphalt,asphalt",False,51,Eastern Area Coordination Center
KALO,ALO,KALO,ALO,Waterloo Regional Airport,medium_airport,42.55709838867188,-92.40029907226562,873.0,United States,Iowa,"5403,6002,8400","asphalt,asphalt,asphalt",False,51,Eastern Area Coordination Center
KALS,ALS,KALS,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,37.434898,-105.866997,7539.0,United States,Colorado,8519,asphalt,False,119,Rocky Mountain Area Coordination Center
KALW,ALW,KALW,ALW,Walla Walla Regional Airport,medium_airport,46.09489822,-118.288002,1194.0,United States,Washington,6526,asphalt,False,90,Northwest Interagency Coordination Center
KALX,ALX,KALX,ALX,Thomas C Russell Field,small_airport,32.914699554399995,-85.9629974365,686.0,United States,Alabama,5425,asphalt,False,100,Southern Area Coordination Center
KAMG,,,AMG,Bacon County Airport,small_airport,31.53610038757324,-82.50659942626953,200.0,United States,Georgia,5000,asphalt,False,100,Southern Area Coordination Center
KAMN,AMN,KAMN,AMN,Gratiot Community Airport,small_airport,43.322101593,-84.68800354,754.0,United States,Michigan,5000,asphalt,False,51,Eastern Area Coordination Center
KAMW,AMW,KAMW,AMW,Ames Municipal Airport,small_airport,41.992001,-93.621803,956.0,United States,Iowa,5700,asphalt,False,51,Eastern Area Coordination Center
KANB,ANB,KANB,ANB,Anniston Regional Airport,medium_airport,33.5882,-85.8581,612.0,United States,Alabama,7000,asphalt,False,100,Southern Area Coordination Center
KAND,AND,KAND,AND,Anderson Regional Airport,medium_airport,34.4945983887,-82.70939636230001,782.0,United States,South Carolina,6002,asphalt,False,100,Southern Area Coordination Center
KANK,SLT,KANK,ANK,Salida Airport - Harriet Alexander Field,small_airport,38.5383,-106.049004,7523.0,United States,Colorado,7347,asphalt,False,119,Rocky Mountain Area Coordination Center
KANW,ANW,KANW,ANW,Ainsworth Regional Airport,small_airport,42.579201,-99.992995,2589.0,United States,Nebraska,"5501,6824","asphalt,asphalt",False,119,Rocky Mountain Area Coordination Center
KAOC,,,AOC,Arco Butte County Airport,small_airport,43.6035,-113.334,5332.0,United States,Idaho,6600,asphalt,False,118,Great Basin Coordination Center
KAOH,AOH,KAOH,AOH,Lima Allen County Airport,small_airport,40.706902,-84.026703,975.0,United States,Ohio,5149,asphalt,False,51,Eastern Area Coordination Center
KAOO,AOO,KAOO,AOO,Altoona Blair County Airport,medium_airport,40.296398,-78.32,1503.0,United States,Pennsylvania,5466,asphalt,False,51,Eastern Area Coordination Center
KAPA,APA,KAPA,APA,Centennial Airport,medium_airport,39.57009888,-104.848999,5885.0,United States,Colorado,"7001,10001","asphalt,asphalt",False,119,Rocky Mountain Area Coordination Center
KAPC,APC,KAPC,APC,Napa County Airport,small_airport,38.2132,-122.280998,35.0,United States,California,5931,asphalt,False,87,Northern California Geographic Area Coordination Center
KAPF,APF,KAPF,APF,Naples Municipal Airport,medium_airport,26.1525993347,-81.7752990723,8.0,United States,Florida,"5000,5290","asphalt,asphalt",False,100,Southern Area Coordination Center
KAPG,APG,KAPG,APG,Phillips Army Air Field,medium_airport,39.466202,-76.1688,57.0,United States,Maryland,"5004,7997","asphalt,asphalt",False,51,Eastern Area Coordination Center
KAPV,APV,KAPV,APV,Apple Valley Airport,small_airport,34.575298309299995,-117.185997009,3062.0,United States,California,6498,asphalt,False,96,Southern California Coordination Center
KAQX,,,AQX,Allendale County Airport,small_airport,32.995098,-81.270203,161.0,United States,South Carolina,5005,asphalt,False,100,Southern Area Coordination Center
KARM,WHT,KARM,ARM,Wharton Regional Airport,small_airport,29.254299,-96.154404,100.0,United States,Texas,5004,asphalt,False,100,Southern Area Coordination Center
KART,ART,KART,ART,Watertown International Airport,medium_airport,43.991901,-76.021698,325.0,United States,New York,"5000,5000","asphalt,asphalt",False,51,Eastern Area Coordination Center
